"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","115","216060","0.0-5.0-0.29","","fixation","","","","","","","","","",""
"1879","","r","psychophysics","116","218449","0.0-5.0-1.29","","response","R","true","key","r","16.682920353982414","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","117","218950","0.0-5.0-2.29","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","118","219453","0.0-5.0-0.30","","fixation","","","","","","","","","",""
"2324","","r","psychophysics","119","222287","0.0-5.0-1.30","","response","R","true","key","r","16.682207142857077","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","120","222787","0.0-5.0-2.30","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","121","223289","0.0-5.0-0.31","","fixation","","","","","","","","","",""
"3016","","b","psychophysics","122","226838","0.0-5.0-1.31","","response","B","true","key","b","16.68308791208783","500","400","Blue","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","123","227341","0.0-5.0-2.31","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","124","227844","0.0-5.0-0.32","","fixation","","","","","","","","","",""
"958","","r","psychophysics","125","229346","0.0-5.0-1.32","","response","R","true","key","r","16.963000000000168","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","126","229848","0.0-5.0-2.32","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","127","230350","0.0-5.0-0.33","","fixation","","","","","","","","","",""
"1152","","y","psychophysics","128","232013","0.0-5.0-1.33","","response","Y","true","key","y","16.685289855072515","500","400","Yellow","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","129","232516","0.0-5.0-2.33","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","130","233019","0.0-5.0-0.34","","fixation","","","","","","","","","",""
"2129","","g","psychophysics","131","235665","0.0-5.0-1.34","","response","G","true","key","g","16.814953124999874","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","132","236168","0.0-5.0-2.34","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","133","236671","0.0-5.0-0.35","","fixation","","","","","","","","","",""
"969","","r","psychophysics","134","238161","0.0-5.0-1.35","","response","R","true","key","r","16.685762711864268","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","135","238665","0.0-5.0-2.35","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","136","239168","0.0-5.0-0.36","","fixation","","","","","","","","","",""
"762","","r","psychophysics","137","240452","0.0-5.0-1.36","","response","R","true","key","r","16.681695652173442","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","138","240955","0.0-5.0-2.36","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","139","241457","0.0-5.0-0.37","","fixation","","","","","","","","","",""
"1033","","b","psychophysics","140","242994","0.0-5.0-1.37","","response","B","true","key","b","16.685209677419476","500","400","Blue","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","141","243496","0.0-5.0-2.37","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","142","243998","0.0-5.0-0.38","","fixation","","","","","","","","","",""
"805","","y","psychophysics","143","245325","0.0-5.0-1.38","","response","Y","true","key","y","16.683081632652865","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","144","245831","0.0-5.0-2.38","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","145","246333","0.0-5.0-0.39","","fixation","","","","","","","","","",""
"1061","","r","psychophysics","146","247903","0.0-5.0-1.39","","response","R","true","key","r","16.680828125000062","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","147","248404","0.0-5.0-2.39","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","148","248908","0.0-5.0-0.40","","fixation","","","","","","","","","",""
"1658","","b","psychophysics","149","251088","0.0-5.0-1.40","","response","B","true","key","b","16.682159999999858","500","400","Blue","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","150","251594","0.0-5.0-2.40","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","151","252096","0.0-5.0-0.41","","fixation","","","","","","","","","",""
"837","","r","psychophysics","152","253448","0.0-5.0-1.41","","response","R","true","key","r","16.68315686274482","500","400","Red","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","153","253949","0.0-5.0-2.41","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","154","254451","0.0-5.0-0.42","","fixation","","","","","","","","","",""
"969","","r","psychophysics","155","255968","0.0-5.0-1.42","","response","R","true","key","r","17.257862068965615","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","156","256472","0.0-5.0-2.42","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","157","256975","0.0-5.0-0.43","","fixation","","","","","","","","","",""
"4154","","g","psychophysics","158","261649","0.0-5.0-1.43","","response","G","true","key","g","16.683155999999958","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","159","262151","0.0-5.0-2.43","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","160","262653","0.0-5.0-0.44","","fixation","","","","","","","","","",""
"2018","","y","psychophysics","161","265197","0.0-5.0-1.44","","response","Y","true","key","y","16.68365573770506","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","162","265699","0.0-5.0-2.44","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","163","266202","0.0-5.0-0.45","","fixation","","","","","","","","","",""
"877","","b","psychophysics","164","267591","0.0-5.0-1.45","","response","B","true","key","b","17.00446153846189","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","165","268092","0.0-5.0-2.45","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","166","268595","0.0-5.0-0.46","","fixation","","","","","","","","","",""
"1246","","y","psychophysics","167","270350","0.0-5.0-1.46","","response","Y","true","key","y","16.68281333333347","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","168","270853","0.0-5.0-2.46","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","169","271354","0.0-5.0-0.47","","fixation","","","","","","","","","",""
"1847","","b","psychophysics","170","273720","0.0-5.0-1.47","","response","B","true","key","b","16.683526785714225","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","171","274223","0.0-5.0-2.47","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","172","274725","0.0-5.0-0.48","","fixation","","","","","","","","","",""
"688","","r","psychophysics","173","275929","0.0-5.0-1.48","","response","R","true","key","r","16.683642857143976","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","174","276436","0.0-5.0-2.48","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","175","276937","0.0-5.0-0.49","","fixation","","","","","","","","","",""
"1299","","r","psychophysics","176","278742","0.0-5.0-1.49","","response","R","true","key","r","16.683564102564468","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","177","279246","0.0-5.0-2.49","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","178","279749","0.0-5.0-0.50","","fixation","","","","","","","","","",""
"2258","","g","psychophysics","179","282530","0.0-5.0-1.50","","response","G","true","key","g","16.683197080291958","500","400","Green","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","180","283031","0.0-5.0-2.50","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","181","283534","0.0-5.0-0.51","","fixation","","","","","","","","","",""
"1767","","b","psychophysics","182","285822","0.0-5.0-1.51","","response","B","true","key","b","16.687028037383065","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","183","286324","0.0-5.0-2.51","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","184","286826","0.0-5.0-0.52","","fixation","","","","","","","","","",""
"1257","","g","psychophysics","185","288599","0.0-5.0-1.52","","response","G","true","key","g","16.683106666666767","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","186","289102","0.0-5.0-2.52","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","187","289604","0.0-5.0-0.53","","fixation","","","","","","","","","",""
