"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"465","","b","psychophysics","98","88677","0.0-5.0-1.23","","response","B","true","key","b","16.68014285714266","500","400","Blue","Blue","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","99","89190","0.0-5.0-2.23","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","89699","0.0-5.0-0.24","","fixation","","","","","","","","","","",""
"554","","g","psychophysics","101","90776","0.0-5.0-1.24","","response","G","true","key","g","16.682606060606002","500","400","Green","Green","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","102","91290","0.0-5.0-2.24","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","103","91798","0.0-5.0-0.25","","fixation","","","","","","","","","","",""
"584","","r","psychophysics","104","92889","0.0-5.0-1.25","","response","R","true","key","r","16.68534285714268","500","400","Red","Green","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","105","93397","0.0-5.0-2.25","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","93904","0.0-5.0-0.26","","fixation","","","","","","","","","","",""
"556","","g","psychophysics","107","94974","0.0-5.0-1.26","","response","G","true","key","g","16.687647058823668","500","400","Green","Green","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","108","95482","0.0-5.0-2.26","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","109","95998","0.0-5.0-0.27","","fixation","","","","","","","","","","",""
"862","","r","psychophysics","110","97382","0.0-5.0-1.27","","response","R","true","key","r","16.68623076923065","500","400","Red","Yellow","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","111","97885","0.0-5.0-2.27","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","98395","0.0-5.0-0.28","","fixation","","","","","","","","","","",""
"427","","b","psychophysics","113","99341","0.0-5.0-1.28","","response","B","true","key","b","16.682880000000004","500","400","Blue","Yellow","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","114","99843","0.0-5.0-2.28","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","115","100358","0.0-5.0-0.29","","fixation","","","","","","","","","","",""
"643","","r","psychophysics","116","101509","0.0-5.0-1.29","","response","R","true","key","r","16.682974358974324","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","117","102019","0.0-5.0-2.29","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","118","102528","0.0-5.0-0.30","","fixation","","","","","","","","","","",""
"530","","g","psychophysics","119","103574","0.0-5.0-1.30","","response","G","true","key","g","16.680343749999793","500","400","Green","Green","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","120","104096","0.0-5.0-2.30","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","121","104611","0.0-5.0-0.31","","fixation","","","","","","","","","","",""
"638","","b","psychophysics","122","105758","0.0-5.0-1.31","","response","B","true","key","b","16.680447368420765","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","123","106269","0.0-5.0-2.31","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","124","106780","0.0-5.0-0.32","","fixation","","","","","","","","","","",""
"903","","y","psychophysics","125","108229","0.0-5.0-1.32","","response","Y","true","key","y","16.683740740740852","500","400","Yellow","Yellow","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","126","108739","0.0-5.0-2.32","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","127","109250","0.0-5.0-0.33","","fixation","","","","","","","","","","",""
"818","","b","psychophysics","128","110592","0.0-5.0-1.33","","response","B","true","key","b","16.68451020408158","500","400","Blue","Red","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","129","111094","0.0-5.0-2.33","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","130","111608","0.0-5.0-0.34","","fixation","","","","","","","","","","",""
"608","","g","psychophysics","131","112734","0.0-5.0-1.34","","response","G","true","key","g","16.68191666666664","500","400","Green","Red","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","132","113237","0.0-5.0-2.34","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","133","113739","0.0-5.0-0.35","","fixation","","","","","","","","","","",""
"556","","r","psychophysics","134","114822","0.0-5.0-1.35","","response","R","true","key","r","16.68896969696983","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","135","115322","0.0-5.0-2.35","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","136","115842","0.0-5.0-0.36","","fixation","","","","","","","","","","",""
"1105","","r","psychophysics","137","117454","0.0-5.0-1.36","","response","R","true","key","r","16.68487878787886","500","400","Red","Green","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","138","117969","0.0-5.0-2.36","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","139","118482","0.0-5.0-0.37","","fixation","","","","","","","","","","",""
"563","","y","psychophysics","140","119564","0.0-5.0-1.37","","response","Y","true","key","y","16.682794117646957","500","400","Yellow","Yellow","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","141","120068","0.0-5.0-2.37","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","142","120575","0.0-5.0-0.38","","fixation","","","","","","","","","","",""
"725","","y","psychophysics","143","121814","0.0-5.0-1.38","","response","Y","true","key","y","16.682727272727128","500","400","Yellow","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","144","122321","0.0-5.0-2.38","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","145","122834","0.0-5.0-0.39","","fixation","","","","","","","","","","",""
"660","","r","psychophysics","146","124012","0.0-5.0-1.39","","response","R","true","key","r","16.683230769230597","500","400","Red","Red","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","147","124518","0.0-5.0-2.39","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","148","125024","0.0-5.0-0.40","","fixation","","","","","","","","","","",""
"612","","y","psychophysics","149","126164","0.0-5.0-1.40","","response","Y","true","key","y","16.681351351351132","500","400","Yellow","Yellow","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","150","126678","0.0-5.0-2.40","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","151","127190","0.0-5.0-0.41","","fixation","","","","","","","","","","",""
"584","","g","psychophysics","152","128287","0.0-5.0-1.41","","response","G","true","key","g","16.68461764705888","500","400","Green","Green","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","153","128803","0.0-5.0-2.41","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","154","129308","0.0-5.0-0.42","","fixation","","","","","","","","","","",""
"834","","r","psychophysics","155","130660","0.0-5.0-1.42","","response","R","true","key","r","16.683499999999768","500","400","Red","Yellow","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","156","131170","0.0-5.0-2.42","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","157","131679","0.0-5.0-0.43","","fixation","","","","","","","","","","",""
"683","","g","psychophysics","158","132885","0.0-5.0-1.43","","response","G","true","key","g","16.68304878048792","500","400","Green","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","159","133400","0.0-5.0-2.43","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","160","133912","0.0-5.0-0.44","","fixation","","","","","","","","","","",""
"475","","y","psychophysics","161","134910","0.0-5.0-1.44","","response","Y","true","key","y","16.67882758620745","500","400","Yellow","Yellow","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","162","135414","0.0-5.0-2.44","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","163","135927","0.0-5.0-0.45","","fixation","","","","","","","","","","",""
"530","","g","psychophysics","164","136966","0.0-5.0-1.45","","response","G","true","key","g","16.68493750000016","500","400","Green","Green","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","165","137470","0.0-5.0-2.45","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","166","137984","0.0-5.0-0.46","","fixation","","","","","","","","","","",""
"996","","g","psychophysics","167","139494","0.0-5.0-1.46","","response","G","true","key","g","16.964322033898622","500","400","Green","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","168","139999","0.0-5.0-2.46","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","169","140516","0.0-5.0-0.47","","fixation","","","","","","","","","","",""
"563","","g","psychophysics","170","141605","0.0-5.0-1.47","","response","G","true","key","g","16.684171428572153","500","400","Green","Green","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","171","142118","0.0-5.0-2.47","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","172","142628","0.0-5.0-0.48","","fixation","","","","","","","","","","",""
"1009","","b","psychophysics","173","144143","0.0-5.0-1.48","","response","B","true","key","b","16.9632666666667","500","400","Blue","Yellow","false","250"
